;Title, http://www.gcdataconcepts.com, LSM6DSM, BMP384, GPS
;Version, 2585, Build date, Feb  9 2024,  SN:CCDC20234ECBE41
;Start_time, 2024-07-22, 19:19:37.275
;Uptime, 5,sec,  Vbat, 4076, mv, EOL, 3500, mv
;Deadband, 0, counts
;DeadbandTimeout, 0.000,sec
;BMP384, SI, 0.100,sec, Units, Pa, mdegC
;Alt Trigger disabled
;LSM6DSM, SR,104,Hz, Units, mG, mdps, fullscale gyro 250dps, accel 4g
;Magnetometer, SR,10,Hz, Units, nT, Temperature, 31,degC
;CAM_M8 Gps, SR,10,Hz
;Gps Sats, TOW, 155995000, ver, 1, numSat, 24
;, gnssId, svId, cno, elev, azmith, prRes, flags,inUse
1721675978.853004,-19,-125,1063,-14892,-9450,12101
1721675978.862300,-33,-120,1066,-16397,-8567,13597
1721675978.871596,9,5,1065,-17937,-7053,16047
1721675978.880892,14,276,1046,-19075,-5592,18103
1721675978.890188,-49,67,1026,-17710,-4577,12250
1721675978.899484,-5,6,1017,-13702,-3527,1995
1721675978.908783,4,25,1021,-12398,-2030,-105,-3985,-36517,73101
1721675978.918079,-11,79,1018,-12171,-1663,805
1721675978.927375,-30,112,1008,-11760,-1532,1417
1721675978.936671,-43,118,999,-10473,-963,376
1721675978.945967,-47,117,992,-8373,-132,-219
1721675978.955263,-42,126,981,-5985,560,70
1721675978.964559,-31,138,964,-3718,1260,157
1721675978.973855,-26,127,954,-1522,1802,-438
1721675978.983185,-27,92,945,630,2292,-1339,-3759,-36566,73114,84551,34030, 156001.900, 40.0103751,-105.2442977, 1621.952,1643.280, 56.294,63.994
1721675978.992481,-21,50,945,2477,2843,-2450
1721675979.001777,9,-1,949,3675,3526,-3562
1721675979.011073,47,-43,955,4200,4007,-3763
1721675979.020369,67,-47,965,3798,3998,-2888
1721675979.029665,83,-40,977,2844,3377,-1182
1721675979.038961,87,-30,988,1882,2275,-272
1721675979.048257,71,-25,998,1374,980,-552
1721675979.057557,55,-30,1006,1208,-254,-289,,,,84558,34032, 156002.000, 40.0103893,-105.2443110, 1621.688,1643.016, 47.647,56.074
1721675979.066853,46,-29,1008,1400,-1182,997
1721675979.076149,37,-29,1010,1663,-1558,2222
1721675979.085445,31,-20,1013,1995,-1715,2712
1721675979.094741,36,-7,1013,2109,-1654,2642
1721675979.104037,22,-6,1015,2109,-1540,1820
1721675979.113333,12,2,1023,2188,-1532,-18
1721675979.122629,0,13,1028,2170,-1357,-604
1721675979.131928,0,28,1026,2284,-963,-394,-3845,-36688,73071,,, 156002.100, 40.0104373,-105.2443183, 1625.593,1646.921, 41.130,49.637
1721675979.141224,8,39,1023,2590,-377,-735
1721675979.150520,5,39,1020,3220,201,-1645
1721675979.159816,4,45,1022,4218,560,-2258
1721675979.169112,-1,54,1022,5233,778,-2100
1721675979.178408,-4,46,1020,6397,1006,-1514
1721675979.187704,1,21,1019,7657,1522,-893
1721675979.197000,6,-13,1022,8672,2178,236
1721675979.206299,29,-30,1027,9074,2703,1128,-3601,-37127,72778,84556,34034
1721675979.215595,42,-37,1033,8803,3027,1242
1721675979.224891,47,-39,1037,8085,3027,1356
1721675979.234187,49,-40,1032,7263,2625,1373
1721675979.243483,54,-35,1026,6309,2170,1216
1721675979.252779,57,-15,1022,5198,1732,1023
1721675979.262075,52,4,1019,4209,1128,691
1721675979.271371,39,9,1012,3684,402,96
1721675979.280671,35,10,1006,3684,-149,-438,-3515,-37377,72631,84563,34030, 156002.200, 40.0104699,-105.2443171, 1628.309,1649.637, 36.274,44.617
1721675979.289967,27,8,1005,3964,-438,-254
1721675979.299263,13,-4,1013,4148,-482,-132
1721675979.308559,8,-26,1022,4227,-254,-149
1721675979.317855,17,-25,1028,3929,157,533
1721675979.327151,25,-14,1032,3247,866,1933
1721675979.336447,32,-4,1036,2643,1260,2940
1721675979.345743,33,-1,1040,2389,1233,2388
1721675979.355042,30,-6,1040,2337,945,945,-3411,-37542,72485,84555,34030, 156002.300, 40.0104920,-105.2443153, 1628.590,1649.918, 33.128,41.293
1721675979.364338,32,0,1043,2424,638,-245
1721675979.373634,40,4,1045,2625,376,-867
1721675979.382930,43,6,1042,2862,148,-1330
1721675979.392226,45,16,1037,3072,-79,-1698
1721675979.401522,30,10,1037,3378,-517,-1777
1721675979.410818,23,-3,1039,3798,-937,-1855
1721675979.420114,25,-13,1039,4192,-1024,-1295
1721675979.429413,8,-39,1043,4367,-972,-989,,,,,, 156002.400, 40.0105182,-105.2443127, 1631.084,1652.412, 30.073,37.859
1721675979.438709,8,-62,1042,4218,-867,-1698
1721675979.448005,23,-77,1039,3649,-394,-1147
1721675979.457301,35,-74,1038,2468,113,-429
1721675979.466597,34,-73,1034,823,297,-53
1721675979.475893,30,-66,1030,-840,201,402
1721675979.485189,13,-55,1024,-2668,-44,1155
1721675979.494485,-2,-40,1016,-4497,-70,1890
1721675979.503785,-20,-13,1013,-6098,192,2266,-3356,-37426,72583,84556,34032
1721675979.513081,-32,4,1016,-7297,848,1198
1721675979.522377,-35,14,1026,-7901,1872,-228
1721675979.531673,-18,4,1021,-8032,3193,-1532
1721675979.540969,6,-33,1014,-7595,4558,-2494
1721675979.550265,39,-63,1009,-7148,5696,-2249
1721675979.559561,66,-94,1005,-7166,6387,-910
1721675979.568857,88,-107,1002,-7630,6308,1111
1721675979.578156,77,-72,1004,-8750,5661,3316,-2905,-36810,73034,84554,34034, 156002.500, 40.0105226,-105.2443053, 1631.323,1652.651, 28.157,35.228
1721675979.587452,60,-21,1015,-10150,4663,5573
1721675979.596748,42,-2,1019,-11016,3972,6370
1721675979.606044,38,15,1008,-11121,3771,6081
1721675979.615340,47,36,1001,-10832,4025,5608
1721675979.624636,52,53,993,-10132,4217,5425
1721675979.633932,54,74,983,-9170,4060,5320
1721675979.643228,49,77,980,-8111,3613,4786
1721675979.652527,46,74,981,-6790,3167,4410,-2337,-36370,73449,84560,34032, 156002.600, 40.0105234,-105.2443010, 1632.314,1653.642, 26.673,33.015
1721675979.661823,37,55,988,-5390,2765,4515
1721675979.671119,45,51,998,-4025,2590,4655
1721675979.680415,28,48,1009,-2695,2345,5932
1721675979.689711,-24,74,1019,-1312,1995,9292
1721675979.699007,8,86,1012,254,2178,10333
1721675979.708303,41,74,1003,2153,3360,10150
1721675979.717599,17,96,995,4157,3867,11191
1721675979.726899,22,91,987,5635,3797,11961,-1403,-36865,73162,,, 156002.700, 40.0105191,-105.2442961, 1632.441,1653.769, 25.062,30.831
1721675979.736195,83,56,1037,7184,3990,9948
1721675979.745491,64,75,999,8567,3718,5888
1721675979.754787,65,49,1007,9800,2598,10045
1721675979.764083,54,48,1006,11253,2143,16415
1721675979.773379,56,118,1029,12268,1697,17220
1721675979.782675,74,27,1022,13668,1207,21621
1721675979.791971,56,-13,1010,15742,831,26871
1721675979.801270,29,7,1004,16372,35,31727,-378,-38104,72424,84555,34030
1721675979.810566,6,32,996,15925,-464,30485
1721675979.819862,54,34,974,15934,-105,27641
1721675979.829158,89,27,964,16380,1085,22890
1721675979.838454,62,-72,973,16862,1365,18427
1721675979.847750,116,-183,972,16643,1093,8837
1721675979.857046,-15,-126,988,14604,577,-7858
1721675979.866342,-8,-101,1004,12102,-490,-543
1721675979.875641,-7,-73,1011,10308,306,6160,,,,84556,34037, 156002.800, 40.0105115,-105.2442896, 1631.720,1653.048, 22.869,28.031
1721675979.884937,-15,-80,1017,9013,1513,8207
1721675979.894233,-21,-7,1020,7858,2826,5941
