;Title, http://www.gcdataconcepts.com, LSM6DSM, BMP384, GPS
;Version, 2585, Build date, Feb  9 2024,  SN:CCDC2023B942042
;Start_time, 2024-07-22, 19:42:40.133
;Uptime, 5,sec,  Vbat, 4072, mv, EOL, 3500, mv
;Deadband, 0, counts
;DeadbandTimeout, 0.000,sec
;BMP384, SI, 0.100,sec, Units, Pa, mdegC
;Alt Trigger disabled
;LSM6DSM, SR,104,Hz, Units, mG, mdps, fullscale gyro 250dps, accel 4g
;Magnetometer, SR,10,Hz, Units, nT, Temperature, 30,degC
;CAM_M8 Gps, SR,10,Hz
;Gps Sats, TOW, 157376000, ver, 1, numSat, 21
;, gnssId, svId, cno, elev, azmith, prRes, flags,inUse
1721677361.666706,-6,-32,1015,-2065,-849,96
1721677361.675956,-5,-34,1009,-2021,-928,402
1721677361.685211,-5,-30,1009,-1960,-1120,735,-22821,17156,72351,,, 157382.600, 40.0102307,-105.2443435, 1596.874,1618.202, 61.431,68.702
1721677361.694461,-10,-29,1007,-1925,-1365,910
1721677361.703711,-5,-31,1011,-1627,-1540,761
1721677361.712961,0,-30,1018,-1198,-1610,472
1721677361.722211,-3,-26,1028,-927,-1803,113
1721677361.731461,-3,-27,1037,-630,-2249,-202
1721677361.740711,7,-30,1037,-376,-2538,-385
1721677361.749961,3,-26,1035,-262,-2722,-315
1721677361.759216,-5,-29,1037,-280,-3037,245,-22894,16870,72283,84545,32627, 157382.700, 40.0102060,-105.2443614, 1594.898,1616.226, 57.052,66.180
1721677361.768466,-8,-29,1035,-437,-3448,1032
1721677361.777716,-12,-27,1032,-551,-3728,1863
1721677361.786966,-21,-33,1030,-630,-3789,2178
1721677361.796216,-22,-34,1026,-280,-3632,2117
1721677361.805466,-11,-40,1020,9,-3019,1741
1721677361.814716,-13,-40,1017,18,-2372,1023
1721677361.823966,-16,-35,1018,97,-2013,113
1721677361.833252,-12,-29,1020,184,-1602,-359,-22973,16760,72161,84537,32627
1721677361.842502,-18,-32,1024,254,-1357,-508
1721677361.851752,-13,-35,1029,237,-1120,-438
1721677361.861002,-23,-38,1035,132,-963,-307
1721677361.870252,-40,-29,1042,-8,-832,-184
1721677361.879502,-26,-41,1040,-341,-692,87
1721677361.888752,-20,-43,1034,-551,-298,262
1721677361.898002,-20,-44,1030,-638,-27,463
1721677361.907257,-10,-41,1020,-577,218,560,-22869,16857,72454,84548,32631, 157382.800, 40.0101840,-105.2443558, 1590.276,1611.604, 53.298,63.829
1721677361.916507,2,-40,1009,-647,551,385
1721677361.925757,5,-39,1005,-560,656,8
1721677361.935007,1,-36,1006,-472,463,-298
1721677361.944257,-5,-41,1009,-236,218,-438
1721677361.953507,-12,-47,1014,-105,26,-552
1721677361.962757,-12,-43,1020,-105,-324,-525
1721677361.972007,-13,-44,1026,-385,-832,-123
1721677361.981262,-4,-40,1031,-603,-1322,385,,,,,, 157382.900, 40.0101502,-105.2443513, 1585.630,1606.958, 50.138,61.791
1721677361.990512,-5,-42,1033,-805,-1680,673
1721677361.999762,-4,-37,1033,-717,-1890,341
1721677362.009012,1,-29,1028,-630,-2188,105
1721677362.018262,2,-28,1020,-595,-2302,-35
1721677362.027512,1,-31,1009,-350,-2372,26
1721677362.036762,-1,-38,1005,27,-2380,183
1721677362.046012,-9,-48,1006,237,-2372,122
1721677362.055267,-9,-50,1014,289,-2450,-123,-22961,16821,72271,84547,32629, 157383.000, 40.0101242,-105.2443548, 1583.767,1605.094, 47.277,59.141
1721677362.064517,-8,-48,1022,149,-2494,-237
1721677362.073767,-14,-54,1025,-35,-2459,-359
1721677362.083017,-26,-46,1029,-420,-2468,-534
1721677362.092267,-29,-40,1030,-927,-2380,-718
1721677362.101517,-19,-36,1027,-1321,-2153,-814
1721677362.110767,-17,-37,1026,-1575,-1742,-805
1721677362.120017,-15,-40,1018,-1505,-1278,-919
1721677362.129273,-14,-40,1010,-1260,-875,-1182,-23004,16809,72363,84554,32640
1721677362.138523,-16,-43,1007,-1242,-587,-1628
1721677362.147773,-21,-44,1007,-1198,-350,-2153
1721677362.157023,-19,-52,1011,-1093,-114,-2468
1721677362.166273,-16,-53,1021,-1015,105,-2538
1721677362.175523,-15,-48,1033,-1312,183,-2249
1721677362.184773,-7,-42,1037,-1776,157,-1698
1721677362.194023,-4,-37,1040,-2082,43,-1199
1721677362.203278,-4,-39,1040,-2170,-228,-613,-22979,16876,72369,84544,32631, 157383.100, 40.0101344,-105.2443700, 1588.762,1610.089, 42.191,50.687
1721677362.212528,-10,-31,1038,-2257,-412,-219
1721677362.221778,-11,-25,1035,-2100,-639,43
1721677362.231028,-9,-21,1029,-1925,-744,43
1721677362.240278,-7,-19,1025,-1531,-849,-307
1721677362.249528,-11,-23,1026,-1076,-945,-525
1721677362.258778,-27,-24,1028,-525,-1138,-884
1721677362.268028,-18,-20,1025,-201,-1304,-1444
1721677362.277252,-14,-23,1023,18,-1190,-1873,-22937,16784,72253,,, 157383.200, 40.0101338,-105.2443806, 1590.954,1612.282, 38.376,44.573
1721677362.286502,-11,-26,1025,368,-1243,-1969
1721677362.295752,-14,-30,1030,770,-1357,-1777
1721677362.305002,-18,-33,1034,945,-1523,-1540
1721677362.314252,-18,-33,1035,1007,-1654,-1190
1721677362.323502,-8,-33,1034,1129,-1645,-797
1721677362.332752,-1,-33,1032,1357,-1584,-560
1721677362.342002,-11,-25,1029,1584,-1593,-587
1721677362.351257,-9,-25,1024,1934,-1619,-762,-22967,16766,72387,84543,32635, 157383.300, 40.0101337,-105.2443868, 1592.775,1614.103, 35.371,39.930
1721677362.360507,-14,-31,1022,2722,-1505,-1155
1721677362.369757,-23,-39,1019,3588,-1409,-1374
1721677362.379007,-23,-45,1014,4235,-1225,-1339
1721677362.388257,-13,-45,1009,4524,-1120,-1182
1721677362.397507,-12,-55,1007,4769,-1164,-665
1721677362.406757,-20,-53,1008,4900,-1348,-70
1721677362.416007,-16,-53,1013,4787,-1558,280
1721677362.425263,-3,-59,1016,4804,-1558,210,,,,84537,32638
1721677362.434513,4,-65,1025,4638,-1584,-324
1721677362.443763,1,-57,1032,4314,-1917,-788
1721677362.453013,0,-57,1037,3570,-2319,-972
1721677362.462263,-4,-54,1039,3255,-2748,-1024
1721677362.471513,-9,-54,1039,2975,-2862,-814
1721677362.480763,-5,-64,1037,2643,-2757,-499
1721677362.490013,-6,-71,1037,2424,-2678,-630
